index,pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_mass,st_rad,sy_dist,sy_vmag,rastr,decstr
0,AU Mic b,AU Mic,Transit,2020,8.4629991,,20.12,,,0.5,,9.7221,8.81,20h45m09.87s,-31d20m32.82s
1,AU Mic c,AU Mic,Transit,2021,18.858991,,9.6,,,0.5,,9.7221,8.81,20h45m09.87s,-31d20m32.82s
2,BD-14 3065 b,BD-14 3065 A,Transit,2024,4.2889731,21.59,3932,2001,6935,1.41,2.35,589.423,11.1,10h14m40.72s,-15d38m34.21s
3,DS Tuc A b,DS Tuc A,Transit,2019,8.138268,5.7,,850,5428,1.01,0.96,44.0622,8.17,23h39m39.71s,-69d11m45.75s
4,GJ 1252 b,GJ 1252,Transit,2020,0.5182331,1.193,1.32,,3458,0.38,0.39,20.373,12.68,20h27m42.88s,-56d27m44.23s
5,GJ 143 b,GJ 143,Transit,2019,35.61253,2.61,22.7,422,4640,0.73,0.69,16.32,8.08,03h27m00.05s,-63d30m00.60s
6,GJ 238 b,GJ 238,Transit,2024,1.7446999,0.566,,758,3485,0.42,0.43,15.2142,11.62,06h33m49.17s,-58d31m30.11s
7,GJ 3090 b,GJ 3090,Transit,2022,2.8531054,2.13,3.34,693,3556,0.52,0.52,22.4751,11.403,01h21m45.22s,-46d42m53.00s
8,GJ 3473 b,GJ 3473,Transit,2020,1.1980035,1.264,1.86,773,3347,0.36,0.36,27.3644,13.74,08h02m22.47s,+03d20m13.79s
9,GJ 357 b,GJ 357,Transit,2019,3.9306,1.2,,518,3505,0.34,0.34,9.44181,10.91,09h36m01.79s,-21d39m54.23s
10,GJ 367 b,GJ 367,Transit,2021,0.3219225,0.699,0.633,1365,3522,0.46,0.46,9.41263,10.153,09h44m29.15s,-45d46m44.46s
11,GJ 3929 b,GJ 3929,Transit,2022,2.616235,1.09,1.75,568,3384,0.31,0.32,15.8095,12.675,15h58m18.62s,+35d24m29.21s
12,GJ 806 b,GJ 806,Transit,2023,0.9263237,1.331,1.9,940,3600,0.41,0.41,12.0445,10.79,20h45m04.73s,+44d30m00.85s
13,Gliese 12 b,Gliese 12,Transit,2024,12.761408,0.958,3.87,315,3296,0.24,0.26,12.21,12.6,00h15m49.90s,+13d33m27.42s
14,HD 108236 b,HD 108236,Transit,2020,3.795963,1.615,,,5660,0.87,0.88,64.5978,9.25,12h26m17.78s,-51d21m46.99s
15,HD 108236 c,HD 108236,Transit,2020,6.203449,2.071,,,5660,0.87,0.88,64.5978,9.25,12h26m17.78s,-51d21m46.99s
16,HD 108236 d,HD 108236,Transit,2020,14.175685,2.539,,,5660,0.87,0.88,64.5978,9.25,12h26m17.78s,-51d21m46.99s
17,HD 108236 e,HD 108236,Transit,2020,19.590025,3.083,,,5660,0.87,0.88,64.5978,9.25,12h26m17.78s,-51d21m46.99s
18,HD 109833 b,HD 109833,Transit,2022,9.188526,2.888,,,5881,1.08,1,79.5561,9.29,12h39m06.21s,-74d34m26.47s
19,HD 109833 c,HD 109833,Transit,2022,13.900148,2.59,,,5881,1.08,1,79.5561,9.29,12h39m06.21s,-74d34m26.47s
20,HD 110082 b,HD 110082,Transit,2021,10.18271,3.2,,,6200,1.21,1.19,105.096,9.23,12h50m21.43s,-88d07m16.00s
21,HD 110113 b,HD 110113,Transit,2021,2.541,2.05,4.55,1371,5732,1,0.97,106.307,10.09,12h40m08.78s,-44d18m43.48s
22,HD 135694 b,HD 135694,Transit,2023,15.92346,2.532,6.1,751,5698,0.91,1.07,73.8713,9.08,15h11m28.29s,+71d50m28.67s
23,HD 1397 b,HD 1397,Transit,2018,11.53533,11.5,131.89945,1228,5521,1.32,2.34,79.5702,7.79,00h17m47.32s,-66d21m32.14s
24,HD 152843 b,HD 152843,Transit,2021,11.6264,3.41,11.56,,6310,1.15,1.43,107.898,8.855,16h55m08.37s,+20d29m29.49s
25,HD 152843 c,HD 152843,Transit,2021,24.38,5.83,27.5,,6310,1.15,1.43,107.898,8.855,16h55m08.37s,+20d29m29.49s
26,HD 15337 b,HD 15337,Transit,2019,4.75615,1.64,7.51,1001,5125,0.9,0.86,44.8155,9.1,02h27m28.29s,-27d38m10.02s
27,HD 15337 c,HD 15337,Transit,2019,17.1784,2.39,8.11,642,5125,0.9,0.86,44.8155,9.1,02h27m28.29s,-27d38m10.02s
28,HD 15906 b,HD 15906,Transit,2023,10.924709,2.24,,668,4757,0.79,0.76,45.5621,9.78,02h33m05.10s,-10d21m07.84s
29,HD 15906 c,HD 15906,Transit,2023,21.583298,2.93,,532,4757,0.79,0.76,45.5621,9.78,02h33m05.10s,-10d21m07.84s
30,HD 183579 b,HD 183579,Transit,2021,17.471291,3.49,20.4,752,5784,1,0.96,57.2651,8.67,19h33m08.79s,-54d31m57.82s
31,HD 18599 b,HD 18599,Transit,2022,4.1374354,2.6,24.1,,5145,0.86,0.77,38.5653,8.99,02h57m02.88s,-56d11m30.73s
32,HD 191939 b,HD 191939,Transit,2020,8.8803256,3.41,10,880,5348,0.81,0.94,53.6089,8.97,20h08m06.15s,+66d51m01.09s
33,HD 191939 c,HD 191939,Transit,2020,28.579743,3.195,8,600,5348,0.81,0.94,53.6089,8.97,20h08m06.15s,+66d51m01.09s
34,HD 191939 d,HD 191939,Transit,2020,38.353037,2.995,2.8,540,5348,0.81,0.94,53.6089,8.97,20h08m06.15s,+66d51m01.09s
35,HD 202772 A b,HD 202772 A,Transit,2019,3.308958,17.318,323.23311,2132,6272,1.72,2.59,161.498,8.324,21h18m47.90s,-26d36m58.95s
36,HD 20329 b,HD 20329,Transit,2022,0.926118,1.72,7.42,2141,5596,0.9,1.13,63.6796,8.76,03h16m42.75s,+15d39m22.88s
37,HD 207496 b,HD 207496,Transit,2023,6.441008,2.25,6.1,743,4819,0.8,0.77,23.606,8.23,21h54m52.36s,-77d20m19.69s
38,HD 207897 b,HD 207897,Transit,2021,16.20166,2.343,14.8,582,5106,0.82,0.78,28.2938,8.37,21h40m48.39s,+84d20m01.54s
39,HD 213885 b,HD 213885,Transit,2019,1.008035,1.745,8.83,2128,5978,1.07,1.1,48.0883,7.95,22h35m56.09s,-59d51m53.38s
40,HD 21749 c,GJ 143,Transit,2019,7.78993,0.892,3.7,701,4640,0.73,0.69,16.32,8.08,03h27m00.05s,-63d30m00.60s
41,HD 219666 b,HD 219666,Transit,2018,6.04345,4.24,,838,5527,0.92,1.03,94.1719,9.809,23h18m14.22s,-56d54m14.35s
42,HD 221416 b,HD 221416,Transit,2019,14.2767,9.17,60.5,,5080,1.21,2.94,95.5483,8.15,23h32m07.96s,-21d48m04.32s
43,HD 22946 d,HD 22946,Transit,2023,47.42489,2.607,26.57,546,6169,1.1,1.12,62.7792,8.270001,03h39m16.69s,-42d45m46.90s
44,HD 23472 b,HD 23472,Transit,2019,17.667087,2,8.32,543,4684,0.67,0.71,39.0341,9.73,03h41m50.17s,-62d46m02.16s
45,HD 23472 c,HD 23472,Transit,2019,29.79749,1.87,3.41,467,4684,0.67,0.71,39.0341,9.73,03h41m50.17s,-62d46m02.16s
46,HD 23472 d,HD 23472,Transit,2022,3.97664,0.75,0.55,909,4684,0.67,0.71,39.0341,9.73,03h41m50.17s,-62d46m02.16s
47,HD 23472 e,HD 23472,Transit,2022,7.90754,0.818,0.72,723,4684,0.67,0.71,39.0341,9.73,03h41m50.17s,-62d46m02.16s
